,,Compliance,Integrity,Reuse/Collaboration,Value,Excellence,Public Interest,Impact,Risks,Benefits,Recognition,Ethics,Career,influence,reputational damage
London School of Hygeine & Tropical Medicine,2021,1,1,1,1,0,0,0,0,0,0,,0,0,0
Queen Margaret University,2021,1,1,1,1,0,0,0,0,0,0,,0,0,0
Robert Gordon University,2021,1,1,0,1,0,1,1,0,1,0,,0,0,0
St Mary's University,2021,1,1,1,0,0,0,0,1,0,0,0,0,0,0
The Open University,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Cambridge,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
University of Central Lancashire,2021,1,0,1,1,0,1,1,0,0,1,0,0,0,0
University of Edinburgh,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0
University of Manchester,2021,1,1,0,1,0,0,0,0,0,0,0,0,0,0
University of Portsmouth,2021,0,0,0,1,0,0,1,0,0,0,0,1,0,0
University of St Andrews,2021,1,0,1,1,1,0,0,1,0,0,0,0,0,0
University of Surrey,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cranfield University,2022,1,1,0,0,0,0,0,0,0,1,,0,0,0
Edinburgh Napier University,2022,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Imperial College London,2022,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Leeds Trinity University,2022,1,1,1,1,0,0,1,0,0,1,,0,0,0
Manchester Metropolitan University,2022,0,1,1,0,1,1,0,0,1,0,,0,0,0
Queen's University Belfast,2022,1,1,1,1,1,0,0,1,1,1,,1,0,0
University for the Creative Arts,2022,1,1,1,1,1,0,0,1,0,0,0,0,0,0
University of Bolton,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of East Anglia,2022,1,0,1,1,0,1,1,1,1,0,0,0,1,0
University of Northampton,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Plymouth,2022,1,1,1,1,0,0,0,0,0,0,0,0,0,0
University of Sussex,2022,0,1,0,1,1,0,0,0,0,0,0,0,0,0
University of the West of England,2022,0,1,1,0,0,0,1,0,0,1,0,0,0,0
University of Warwick,2022,,,,,,,,,,,,,,
University of West London,2022,1,1,1,1,0,0,1,0,1,0,0,0,0,0
University of Westminster,2022,1,1,1,0,0,1,0,1,0,0,1,0,0,0
Aston University,2023,1,1,,1,0,0,0,0,1,0,,0,0,0
Cranfield University,2023,1,1,,0,0,0,0,0,0,1,,0,0,0
Hartpury University,2023,1,1,,0,1,0,0,0,0,0,,0,0,0
Liverpool John Moores University,2023,1,1,0,1,1,1,0,0,0,0,,0,0,0
LSE,2023,1,1,1,1,0,1,1,1,1,0,,0,0,0
St George's,2023,1,1,1,1,0,0,0,0,0,0,0,0,0,0
University of Glasgow,2023,0,1,1,0,0,1,1,0,0,0,0,0,0,0
University of Hull,2023,1,1,0,1,0,0,1,0,0,0,0,0,0,0
University of Oxford,2023,1,1,1,0,1,1,1,1,0,0,0,1,0,0
University of St Andrews,2023,1,0,1,1,1,0,0,1,0,0,0,0,0,0
University of Strathclyde,2023,1,1,0,0,1,1,0,1,0,0,0,0,0,0
University of Wolverhampton,2023,1,1,0,0,1,0,1,0,0,0,0,0,0,0
University of York,2023,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Bath Spa University,2024,1,1,0,0,0,1,1,0,0,0,1,0,0,0
London School of Hygeine & Tropical Medicine,2024,1,1,1,1,0,0,0,0,0,0,,0,0,0
Queen's University Belfast,2024,1,1,1,1,1,0,0,1,1,1,,1,0,0
Teesside University,2024,1,1,0,0,0,0,0,0,0,0,0,0,0,0
University College London,2024,1,1,1,1,0,0,0,1,0,0,0,0,0,0
University for the Creative Arts,2024,1,1,1,1,1,0,0,1,0,0,0,0,0,0
University of Birmingham,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Essex,2024,0,1,0,0,1,0,1,0,0,1,0,0,0,0
University of Liverpool,2024,1,1,1,0,0,1,1,0,1,0,0,1,0,0
University of Reading,2024,1,1,0,1,0,1,0,0,0,0,0,0,0,0
University of Salford,2024,1,1,1,0,0,0,1,0,0,0,0,0,0,0
University of Southampton,2024,1,0,0,1,0,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,77.44360902,60.15037594,46.15384615,47.36842105,36.09022556,30.82706767,28.57142857,22.55639098,15.03759398,10.52631579,6.603773585,3.759398496,2.255639098,0.751879699
